"cobacia","S1_ivv_nu","S2_ivv_nu","S3_ivv_classe","S4_ivv_nu","floresta","monitorado","estacoes","escolas","alunos","docentes","risco"
51,0,0,"4",0.158,3124.6821,"yes",0,45,5063,320,0
471,0,0.366473099925426,"4",0.181,115.5636,"yes",0,2,343,60,0
473,0,0.367384758702995,"4",0.16,162.8334,"yes",0,10,2758,169,2.394
477,1.9960820003e-10,0.367562819713597,"4",0.131,42.0687,"yes",1,26,14447,453,4.969
479,1.8160070156e-09,0.367764514347011,"4",0.132,21.1428,"yes",1,12,7030,241,5.701
532,0,0.144980461149977,"4",0.154,24.615,"no",0,1,46,2,0
546,0,0.144980392959586,"4",0.169,233.8047,"no",0,1,84,3,0
547,0,0.144980395393655,"4",0.176,200.2338,"no",0,3,202,14,0
565,0,0.144980394475146,"4",0.169,74.5758,"no",0,1,223,11,0
581,0,0.144980397927482,"4",0.203,3.7026,"no",0,1,88,4,0
585,6.653684017924e-08,0.144980389170696,"4",0.199,3.5964,"no",0,1,15,1,0
599,0,0,"1",0.245,12.2661,"no",0,3,583,31,0
633,50275.0000000354,0.201870630574482,"4",0.162,124.2234,"yes",0,2,583,29,0
3993,0,0,"1",0.193,162.8685,"yes",0,16,1601,100,0
4114,0,0.252662881275433,"4",0.158,157.2255,"yes",0,4,82,7,0
4121,0,0.252662869002501,"1",0.155,151.2027,"yes",0,34,12128,689,1.571
4133,0,0.319070446443402,"1",0.155,19.8819,"no",0,1,84,6,0
4141,0,0.14498039587058,"1",0.156,2166.2055,"yes",0,52,6065,376,0
4147,0,0.144980400268817,"4",0.165,26.9235,"no",0,1,43,4,0
4156,0,0.144980399133327,"4",0.157,484.6356,"yes",0,3,227,13,0
4165,5.889273432675e-08,0.0672597356156856,"4",0.156,202.3236,"no",0,1,18,14,0
4171,0,0.319404776307427,"4",0.157,344.5497,"yes",0,1,355,14,0
4176,0,0.144980397272647,"4",0.157,187.1514,"yes",0,5,531,26,0
4192,0,0.144980389005073,"1",0.155,187.7535,"yes",0,24,6448,286,0.298
4197,0,0.320609439293235,"4",0.16,51.768,"yes",0,1,181,8,0
4217,2.60092025303866e-05,0.131906361393788,"2",0.206,94.023,"yes",0,5,178,27,0
4339,2.76443172957e-09,0.329908179850305,"4",0.234,127.4598,"yes",0,2,49,4,0
4355,1.022980409354e-08,0.329992903650043,"4",0.23,16.9065,"yes",0,1,76,7,48.649
4357,5.83476781345e-09,0.330013635315171,"4",0.237,101.6721,"yes",0,5,216,14,48.649
4359,0,0.330029885324577,"4",0.237,214.0875,"yes",2,48,10113,523,0.847
4391,2.4591502636937e-07,0.330234422415715,"4",0.227,18.8352,"yes",0,1,19,2,0
4393,0,0.330232785931816,"4",0.236,102.7296,"yes",0,5,473,25,51.525
4511,0,0.330001335415593,"4",0.232,412.5285,"yes",0,32,2223,160,51.525
4513,0,0.330063930482277,"4",0.227,2.0664,"yes",0,1,23,2,0
4531,0,0.330388195982718,"4",0.222,9.2889,"yes",0,2,80,13,0
4533,0,0.330410458590026,"4",0.212,1.6542,"yes",0,3,208,19,0
4535,0,0.330443616938947,"4",0.209,12.7323,"yes",0,24,9604,360,1.459
4545,0,0.0994693035224486,"4",0.163,39.1635,"yes",0,1,167,7,0
4551,1.47149182255e-09,0.336314922308249,"4",0.242,260.5734,"yes",0,16,4814,210,428.373
4553,2.82765589469e-09,0.336381567810055,"4",0.228,3.0438,"yes",0,1,20,1,42.567
4555,3.06596249198e-09,0.336446617480688,"4",0.222,8.7309,"yes",0,2,96,6,42.567
4563,0,0.237168874116604,"4",0.217,53.6877,"yes",2,34,12129,557,2.423
4571,0,0.338431404653718,"4",0.193,1309.4766,"yes",1,44,10625,622,2.503
4591,0,0.339777244342807,"4",0.172,862.5834,"yes",0,31,4886,326,0.462
4593,0,0.339879848426361,"4",0.2,1253.3157,"yes",2,33,11866,656,0.593
4613,0,0.229741400076175,"4",0.158,344.4012,"yes",0,6,319,35,0
4741,0,0.252427752112275,"4",0.155,189.9486,"yes",0,9,509,39,0
4751,0,0.367487183316653,"4",0.136,746.4393,"yes",1,37,5024,516,0.79
4752,9.5821382098e-10,0.252427770418558,"4",0.132,134.8992,"yes",0,2,83,11,0
4753,2.0049003346e-10,0.367535177163324,"4",0.132,21.8493,"yes",0,1,167,10,0
4761,2.6983694017e-10,0.252427747820202,"4",0.131,32.2308,"yes",1,7,2414,111,0
4764,2.8529887028e-10,0.252427779846505,"4",0.131,41.0256,"yes",1,221,142339,5427,0.516
4765,3.9944981913e-10,0.252427753847668,"4",0.129,2.3238,"yes",0,1,45,4,0
4832,0,0.414205182349267,"2",0.23,118.8774,"no",0,1,96,9,0
4855,0,0.404816134332809,"4",0.196,1068.7824,"no",0,1,17,3,0
4857,0,0.404795598806028,"4",0.227,148.0095,"no",0,11,3651,281,0
4915,0,0.372434780777655,"4",0.154,1758.7872,"yes",0,30,2572,182,0.052
4918,0,0.359547485777518,"4",0.161,108.63,"yes",0,1,35,2,0
4919,0,0.37239795148456,"4",0.16,14.9175,"yes",0,2,71,5,0
4935,0,0.390006006302196,"4",0.243,170.0154,"no",0,2,198,16,0
4955,0,0.418030110027481,"4",0.222,874.1259,"yes",0,7,309,22,0
4961,0,0.168072613588484,"4",0.215,29.6343,"yes",0,1,54,3,0
5223,0,0.144980389912841,"4",0.167,16.839,"no",0,1,100,10,0
5224,0,0.144980381060406,"4",0.167,104.445,"no",0,3,666,46,0
5225,0,0.14498040476925,"4",0.167,21.8142,"no",0,2,342,23,0
5227,0,0.144980409978015,"4",0.165,108.0009,"no",0,2,100,5,0
5233,0,0.144980395507919,"1",0.17,9.7344,"no",0,2,31,2,0
5249,0,0.144980389851285,"4",0.195,148.2939,"no",0,3,357,16,0
5255,0,0.144980395778247,"4",0.173,12.8358,"no",0,1,37,2,0
5256,0,0.144980443236603,"4",0.173,44.4429,"no",0,1,175,13,0
5258,0,0.14498044977756,"1",0.167,14.6385,"no",0,2,182,13,0
5259,0,0.144980396108861,"1",0.167,6.1632,"no",0,1,259,14,0
5278,0,0.144980402566024,"4",0.184,147.2004,"no",0,1,104,6,0
5279,0,0.144980395832528,"4",0.219,10.2006,"no",0,4,3669,129,0
5282,0,0.144980405664135,"4",0.24,118.5723,"no",0,2,134,7,0
5283,0,0.144980399808089,"4",0.246,213.6852,"no",0,4,304,17,0
5285,0,0.144980398957854,"4",0.247,40.9644,"no",0,1,88,7,0
5286,0,0.144980399887988,"4",0.247,116.3601,"no",0,4,295,13,0
5292,0,0.14498040449528,"4",0.223,187.3485,"no",0,3,226,13,0
5294,0,0.144980409656787,"4",0.245,172.2159,"no",0,2,90,8,0
5299,0,0.144980402821994,"4",0.249,156.1815,"no",0,1,11,1,0
5313,0,0,"4",0.154,1.0872,"no",0,1,136,9,0
5346,0,0.144980341656481,"1",0.17,33.9498,"no",0,1,18,1,0
5348,0,0.14498036759748,"4",0.173,60.7896,"no",0,1,18,1,0
5425,0,0.14498040079301,"4",0.157,10.3041,"no",0,1,129,8,0
5426,0,0.144980406944973,"4",0.17,70.5717,"no",0,1,24,1,0
5428,0,0.144980422550494,"4",0.171,41.1363,"no",0,1,55,3,0
5429,0,0.144980383161273,"4",0.17,75.3732,"no",0,1,33,1,0
5446,0,0.144980376230296,"4",0.199,159.8661,"no",0,1,84,6,0
5447,0,0.144980390021523,"4",0.174,41.8824,"no",0,3,142,9,0
5448,0,0.144980410372405,"4",0.198,113.5638,"no",0,2,238,12,0
5449,0,0.144980384717569,"4",0.238,188.9145,"no",0,1,93,7,0
5453,0,0.14498039503111,"4",0.168,46.3518,"no",0,2,161,8,0
5455,0,0.144980395680972,"4",0.167,55.8342,"no",0,1,31,1,0
5481,0,0.144980398255895,"4",0.215,57.9906,"no",0,1,118,11,0
5491,0,0.144980396988452,"4",0.215,265.3227,"no",0,4,161,16,0
5493,0,0.144980398308752,"4",0.219,7.3485,"no",0,2,394,34,0
5498,6.52186233565e-08,0.144980382773146,"4",0.225,25.7958,"no",0,1,11,1,0
5499,0,0.144980395881938,"4",0.217,4.1202,"no",0,1,7,1,0
5543,0,0.144980391713897,"4",0.154,2.1186,"no",0,1,142,10,0
5545,0,0.144980391287608,"4",0.154,16.4079,"no",0,1,50,4,0
5546,0,0.144980411937909,"4",0.152,191.3022,"no",0,1,204,11,0
5561,0,0.14498038837437,"4",0.152,5.7258,"no",0,1,33,2,0
5563,0,0.144980372997184,"4",0.152,2.1987,"no",0,1,200,10,0
5614,0,0.144980461402633,"4",0.152,24.1758,"no",0,1,39,2,0
5625,0,0.144980370622861,"4",0.152,14.8311,"no",0,1,97,7,0
5635,0,0.144980394501856,"4",0.152,14.7672,"no",0,1,204,10,0
5663,0,0.144980377361732,"4",0.157,61.8039,"no",0,1,118,10,0
5673,0,0.144980400363333,"4",0.169,9.7038,"no",0,1,75,8,0
5685,0,0.144980371128695,"4",0.169,31.6944,"no",0,1,107,5,0
5694,0,0.1449803522435,"4",0.168,61.7283,"no",0,1,303,12,0
5695,0,0.144980402216798,"4",0.169,20.2743,"no",0,1,38,2,0
5731,0,0,"4",0.176,217.1601,"no",0,9,2381,128,0
5741,0,0.144980393871376,"4",0.217,0.8874,"no",0,1,137,14,0
5821,0,0.144980397379779,"4",0.195,3.9888,"no",0,1,39,2,0
6162,1.8704350208437e-07,0.144980391511512,"4",0.204,69.201,"no",0,5,386,26,0
6172,5.482332158184e-08,0.154513849116944,"1",0.236,26.2521,"no",0,2,115,3,0
6182,1.9434613378019e-07,0.323495347448935,"4",0.297,89.9172,"yes",0,12,2721,108,0
6187,0,0.323495366971589,"4",0.202,105.7293,"yes",0,5,568,20,0
6188,0,0.323495345628141,"4",0.188,122.5152,"yes",0,1,56,1,0
6189,0,0.323495354213516,"4",0.183,266.5233,"yes",0,4,154,5,0
6192,1.75909734499e-09,0.144980409261381,"4",0.241,17.4006,"no",0,1,195,18,0
6195,2.04484704604e-09,0.196272063243218,"1",0.229,18.1233,"yes",0,5,331,22,0
6197,1.44996214018e-09,0.196291939827226,"1",0.22,47.511,"yes",0,9,710,44,0
6198,0,0.144980391417661,"1",0.23,95.5953,"yes",0,1,349,16,0
6199,9.0223727542e-10,0.196308152126505,"1",0.216,44.0406,"yes",0,7,845,58,0
6211,0,0.143421409370885,"1",0.227,0.3978,"no",0,1,19,2,0
6222,0,0.143068562526312,"4",0.213,226.3257,"no",0,3,390,19,0
6225,0,0.143068573381198,"4",0.213,112.9005,"no",0,2,220,9,0
6226,0,0.143068569320587,"4",0.2,472.0437,"no",0,5,351,17,0
6242,0,0.143068584920792,"4",0.207,126.0252,"no",0,1,23,1,0
6252,0,0.144980385629043,"4",0.195,221.0598,"no",0,2,538,30,0
6271,0,0.143068574258113,"4",0.207,14.6412,"no",0,16,6890,299,0
6282,4.7064469819309e-05,0.14306856773995,"2",0.189,159.5664,"yes",0,1,16,2,0
6283,0,0.143068573718513,"2",0.193,13.9653,"no",0,1,21,2,0
6284,0,0.143068573709293,"2",0.189,201.672,"no",0,1,12,1,0
6286,4.567063452883e-05,0.143068577706269,"2",0.183,42.7797,"no",0,6,2811,102,0
6321,507.025856758238,0.341007189019093,"2",0.164,43.9326,"yes",0,7,2085,130,0
6322,50275.0000000374,0.341007194244604,"2",0.166,157.5945,"yes",0,1,307,14,0
6323,50275.0000000986,0.341007194635878,"2",0.165,35.964,"yes",0,1,453,25,0
6324,11.1506098712622,0.341007236896415,"2",0.172,81.1917,"yes",0,1,249,13,0
6325,1.47766446027721,0.341007189743954,"2",0.167,59.6817,"yes",0,1,162,12,0
6341,15.3362244210162,0.341007195920032,"2",0.162,23.0931,"yes",0,1,21,1,0
6345,375.182231381852,0.341007191909708,"2",0.164,80.4708,"no",0,1,46,3,0
6361,0.00313373039779769,0.341007194681446,"2",0.167,40.8618,"no",0,1,316,13,0
6371,50275,0.199156326573742,"2",0.167,21.9825,"yes",0,1,21,1,0
6375,0.000157816658590115,0.198917983091207,"3",0.186,3.6126,"yes",0,5,2752,118,0
6377,6.16936481451796e-05,0.19867625909908,"3",0.187,27.9882,"yes",0,2,90,10,0
6379,3.49587325939997e-05,0.19861347589855,"3",0.188,30.6414,"yes",0,6,675,36,0
6383,2.6421097919e-09,0.0673611111665492,"3",0.19,76.4109,"yes",0,13,5329,175,6.146
6396,4.09662388718e-09,0.341007186809741,"2",0.196,41.571,"no",0,12,1022,71,0
6439,1.235569215836e-08,0.245204137771465,"1",0.215,107.5968,"no",0,1,972,34,0
6521,5.27542164131e-09,0.0631284916238386,"2",0.185,59.4639,"no",0,4,462,39,0
6548,1.6550314607e-10,0.063128494124866,"2",0.165,319.86,"no",0,1,7,1,0
6556,1.893002925584e-08,0.0631284394572888,"2",0.196,7.7814,"no",0,3,807,45,0
6557,1.800732331463e-08,0.171814104614551,"2",0.196,3.564,"no",0,2,300,16,0
6561,2.547575617334e-08,0.0631284916908332,"5",0.194,10.2402,"no",0,2,959,47,0
6648,7.108250223397e-08,0.0631284924850388,"2",0.222,232.3053,"no",0,3,1170,70,0
6749,1.100395984169e-08,0.063128485244389,"2",0.132,48.6963,"yes",0,5,1558,72,0
6773,4.358608656785e-08,0.239273417597198,"5",0.144,31.3524,"yes",1,2,710,42,0.253
6795,0,0.266512136029374,"5",0.171,52.3431,"no",0,1,253,13,0
6797,0,0.26676453260572,"5",0.182,63.9369,"no",0,3,737,45,0
6819,1.72651609128e-09,0.351171562215741,"5",0.235,42.4368,"no",0,2,298,17,0
6934,1.554536834881e-08,0.278030481730244,"5",0.253,10.7955,"no",0,1,144,8,0
7125,7.691363929e-10,0.350898201608107,"5",0.178,199.2348,"no",0,6,861,48,0
7127,5.4892011234e-10,0.35089820590629,"2",0.177,40.7826,"no",0,2,384,30,0
7132,6.017347761511e-08,0.350898217318616,"4",0.197,47.9304,"no",0,11,1413,89,0
7134,1.034735853523e-07,0.350898491834879,"4",0.22,17.244,"no",0,3,114,8,0
7135,2.6298981840376e-07,0,"4",0.223,3.7782,"no",0,1,182,11,0
7137,5.3798011658284e-07,0,"4",0.223,4.14,"no",0,1,21,4,0
7154,4.40669325923e-08,0.211875881110749,"2",0.231,73.5111,"no",0,1,217,12,0
7156,4.705859348189e-08,0.211875959458101,"2",0.231,30.4596,"no",0,7,2028,115,0
7172,9.801044861598e-08,0.0362182566343907,"2",0.262,34.3431,"no",0,1,162,11,0
7174,6.128899728362e-08,0.0362182508683832,"3",0.263,39.3039,"no",0,3,734,43,0
7176,2.434140080003e-08,0.0362182475966232,"3",0.273,113.5314,"no",0,6,362,36,0
7232,4.1592225634924e-07,0.0483005038440891,"3",0.248,21.8142,"yes",0,5,629,61,178.06
7233,7.53472945457e-07,0.0483752678333228,"4",0.243,9.8019,"yes",0,1,28,2,0
7234,7.6009683828753e-07,0.0483006068264903,"3",0.243,13.4496,"yes",0,1,98,12,0
7235,8.6959527114364e-07,0.0483753793945183,"3",0.243,0.6291,"no",1,7,1661,92,2.174
7237,1.16347737783886e-06,0.0483764480462596,"3",0.246,28.4688,"yes",0,10,1209,93,180.234
7238,1.67244152742142e-06,0.0483005450685164,"3",0.24,109.0314,"yes",0,14,1624,124,178.06
7239,2.41576365439911e-06,0.0483768787936958,"3",0.246,31.1697,"yes",0,1,17,2,178.06
7241,1.171658435748e-06,0.048300536661109,"4",0.244,26.4636,"no",0,8,955,65,0
7256,1.227374639711e-08,0.0549898208075119,"3",0.242,258.2766,"yes",0,45,4067,284,0
7259,1.05007940381152e-06,0.0483268562308491,"3",0.244,243.666,"yes",0,28,1929,224,0
7281,2.90731678493e-09,0.0483403486045297,"3",0.255,84.8187,"no",0,15,3645,268,0
7285,9.8461479459e-10,0.0483005369348797,"3",0.251,26.2836,"no",0,2,103,6,0
7337,4.103002375226e-08,0,"4",0.301,5.2695,"yes",0,1,94,9,0
7413,1.2397488554351e-07,0.385787439729063,"3",0.403,36.5877,"yes",0,4,762,52,0
7439,1.42120954129e-09,0.414616280466108,"4",0.297,1.125,"no",0,5,975,80,0
7531,5.5303207095161e-07,0,"4",0.501,14.8779,"no",0,4,1273,68,0
7532,3.2539870753174e-07,0,"4",0.506,119.1681,"yes",0,2,483,21,0
7535,1.78640356260945e-06,0,"4",0.593,1.9332,"no",0,1,129,6,0
7554,5.690620234525e-08,0,"4",0.585,92.3175,"yes",0,7,2513,93,0
7556,4.242547324415e-08,0,"4",0.59,13.3092,"no",0,2,171,15,0
7557,9.51723790271e-09,0,"4",0.565,41.8518,"no",1,9,1569,90,0.246
7713,5.694845847052e-08,0,"4",0.346,6.6915,"no",0,2,327,22,0
7737,2.37907727498432e-06,0,"4",0.274,26.8164,"no",0,7,3225,100,0
7773,4.2747930200471e-07,0,"2",0.24,5.8158,"yes",1,16,6880,362,0.64
7793,1.10837571113685e-06,0,"4",0.285,9.9774,"yes",0,6,2488,148,0
7961,2.2600359034614e-07,0.153034335214311,"1",0.173,4.0725,"yes",0,2,634,32,40.747
39613,0,0.123911391665703,"2",0.142,28.7793,"no",0,1,24,3,0
41123,0,0.252662867719718,"4",0.174,281.5335,"yes",0,4,490,30,0
41125,0,0.252662869669174,"4",0.18,103.5954,"yes",0,4,222,23,0
41126,0,0.252662866926161,"4",0.162,102.3831,"yes",0,8,1101,79,0
41129,1.5921549119848e-07,0.252662889430272,"4",0.159,118.3653,"yes",0,2,267,22,0
41131,0,0.318965537580849,"1",0.164,57.699,"yes",0,6,182,15,0
41132,0,0.252662898974381,"4",0.161,17.613,"no",0,1,34,4,0
41134,0,0.252662877798707,"4",0.159,71.3052,"no",0,2,226,25,0
41161,0,0.252662867313026,"1",0.157,3.8862,"yes",0,1,73,5,0
41163,0,0.252662869306439,"4",0.153,99.7542,"yes",0,4,458,30,0
41166,0,0.252662895890247,"4",0.157,10.1322,"yes",0,1,55,5,0
41172,0,0.252662890957621,"1",0.153,77.2974,"yes",0,2,73,8,0
41181,0,0.252662874151569,"1",0.154,0.306,"yes",0,5,1958,102,0.114
41183,0,0.252662878711735,"4",0.153,46.0917,"yes",1,37,14784,732,0
41221,0,0.252662867681824,"4",0.156,59.1057,"yes",0,12,2940,235,0
41222,0,0.252662869295621,"4",0.154,49.293,"yes",0,2,136,15,0
41224,8.4410305495e-10,0.25266286833943,"4",0.154,171.6003,"yes",0,3,265,22,0
41225,0,0.252662866169219,"4",0.151,123.8868,"yes",0,3,431,43,0
41228,1.2686669281351e-07,0.252662867902975,"4",0.153,129.582,"yes",0,1,48,3,0
41232,0,0.252662765675317,"4",0.156,5.2209,"yes",0,1,52,4,0
41233,0,0.252662868758203,"1",0.156,1.1979,"yes",0,1,81,10,0
41234,0,0.252662988815165,"4",0.156,18.6786,"yes",0,2,561,39,0
41237,0,0.252662868805746,"4",0.156,80.1189,"yes",0,2,89,4,0
41241,8.8392721784e-10,0.252662870113476,"4",0.154,35.6274,"yes",0,1,100,10,0
41242,1.60477995097e-09,0.25266286933991,"4",0.156,23.4162,"yes",0,1,59,10,0
41257,1.74408497256e-09,0.252662868898621,"2",0.157,19.3527,"yes",0,1,38,3,0
41261,6.14742929276e-09,0.252662868539192,"2",0.16,239.4045,"yes",0,3,102,8,0
41272,3.250786752315e-08,0.252662868466683,"2",0.161,229.9428,"no",0,1,18,1,0
41273,2.0390786929e-09,0.252662869411331,"2",0.157,30.978,"yes",0,1,72,9,0
41281,3.327675778e-09,0.252662869821953,"2",0.157,229.1112,"yes",0,2,118,12,0
41293,1.2620482543756e-07,0.252662865845849,"2",0.162,285.1884,"no",0,1,27,1,0
41321,0,0.252662870341584,"1",0.155,143.046,"no",0,4,406,22,0
41323,0,0.252662872048042,"4",0.157,14.3577,"no",0,3,350,25,0
41324,0,0.252663018135061,"4",0.158,24.4611,"no",0,2,504,37,0
41325,0,0.252662847907066,"4",0.156,68.4918,"no",0,5,686,65,0
41341,0,0.144980394915183,"4",0.158,501.4332,"no",0,12,801,61,0
41343,1.12018130457e-09,0.144980394264332,"2",0.157,196.875,"no",0,3,112,10,0
41345,2.60380258515e-09,0.144980398772743,"2",0.161,288.6057,"no",0,1,11,1,0
41423,0,0.144980404712757,"4",0.155,64.0656,"no",0,2,265,22,0
41425,0,0.144980411401413,"4",0.165,128.9556,"no",0,5,247,19,0
41441,0,0.144980393390893,"4",0.155,83.5731,"yes",0,1,108,6,0
41442,0,0.144980412739463,"4",0.155,94.7628,"yes",0,1,47,3,0
41443,0,0.144980396864302,"4",0.154,305.7354,"yes",0,2,443,19,0
41451,0,0.14498039529508,"4",0.155,106.3233,"no",0,1,340,38,0
41453,0,0.14498039232051,"4",0.165,49.9068,"no",0,5,272,17,0
41462,0,0.144980334904926,"4",0.168,33.4881,"no",0,2,122,15,0
41521,0,0.144980394925038,"4",0.157,381.2688,"yes",0,10,888,46,0
41523,0,0.144980396054985,"4",0.158,37.0485,"no",0,1,14,1,0
41541,0,0.144980394333187,"4",0.157,215.82,"yes",0,2,454,22,0
41544,0,0.144980378852881,"4",0.157,29.5092,"no",0,2,74,6,0
41549,0,0.144980403320888,"4",0.157,175.959,"no",0,1,29,1,0
41582,0,0.144980317917614,"1",0.159,22.4343,"yes",0,3,92,4,0
41611,0,0.126182097203606,"4",0.158,133.2297,"yes",0,1,274,9,0
41613,0,0.124866049939396,"4",0.161,133.3116,"yes",0,3,117,14,0
41615,0,0.123698098369236,"4",0.162,10.0404,"no",0,1,22,2,0
41617,0,0.123040235088293,"4",0.162,11.8674,"no",0,1,40,5,0
41619,1.95950458394e-09,0.122041848262307,"4",0.162,1.3257,"no",0,1,13,1,0
41633,9.5116232018e-10,0.105978475658391,"4",0.163,55.7829,"no",0,2,50,19,0
41641,8.828523035899e-08,0.144980393469202,"4",0.156,130.7493,"no",0,3,92,29,0
41642,1.5810492319914e-07,0.144980372238145,"4",0.161,52.6608,"no",0,1,5,1,0
41645,1.5474176956424e-07,0.144980400204046,"4",0.158,136.4607,"no",0,1,123,14,0
41662,0,0.144980431691639,"4",0.155,16.8498,"no",0,1,61,3,0
41671,0,0.0241662639402218,"4",0.153,12.5568,"no",0,1,22,2,0
41721,0,0.144980394117177,"4",0.157,565.7634,"yes",0,6,569,29,0
41724,0,0.144980399682228,"4",0.152,114.093,"yes",0,1,57,2,0
41743,0,0.144980394485485,"4",0.16,205.1973,"yes",0,2,276,13,0
41932,0,0.144980418599369,"1",0.156,89.5239,"yes",0,1,112,6,0
41941,0,0.144980400797758,"4",0.157,120.7746,"yes",0,3,514,22,0
41951,0,0.320593171159074,"4",0.16,57.4281,"yes",0,1,71,2,0
41961,0,0.144980392685199,"4",0.157,187.6806,"yes",0,5,699,35,0
41967,0,0.144980421312904,"4",0.156,9.6822,"yes",0,1,197,5,0
41981,0,0.144980395190733,"4",0.165,492.6069,"yes",0,37,6471,292,0.777
41983,4.22159528504e-09,0.144980394471147,"4",0.172,15.4053,"yes",0,1,54,6,0
42111,0,0.131317266934788,"4",0.155,149.3136,"yes",0,3,279,16,0
42113,0,0.131394316990267,"4",0.152,157.824,"no",0,7,4894,220,0.372
42114,0,0.0505135448508485,"4",0.149,29.8917,"no",0,3,1461,68,0.333
42132,0,0.0505135974802686,"4",0.15,26.5401,"no",0,1,33,2,0
42141,0,0.0505135543819826,"4",0.156,41.5647,"no",0,1,77,3,0
42142,0,0.0505135541422586,"4",0.163,204.8022,"no",0,1,275,7,0
42155,4.47457095079221e-06,0.127227533403755,"4",0.199,60.2667,"yes",0,2,293,14,0.503
42425,1.16634753602e-09,0.0231749708569983,"2",0.158,0.5895,"no",0,1,61,3,0
42467,2.15533641263e-09,0.0231749707076678,"2",0.174,82.5372,"no",0,2,238,12,0
42479,0,0.0231749710269289,"5",0.183,91.242,"no",0,1,425,14,0
42682,4.52904490175e-09,0.42163517166391,"5",0.154,89.9514,"no",0,4,1124,65,0
42775,0,0.391521151472834,"5",0.18,0.5031,"yes",0,1,242,16,0
43125,0,0.358339984607834,"4",0.176,53.0361,"no",0,2,310,11,0
43311,0,0.329888452089886,"4",0.186,39.2841,"yes",0,1,49,2,0
43312,0,0.358340017986646,"4",0.192,60.9093,"yes",0,1,43,5,0
43313,0,0.329889704354338,"4",0.193,13.4658,"yes",0,2,200,12,0
43314,0,0.0357836547786708,"4",0.198,96.6024,"yes",0,1,56,6,0
43315,0,0.329891983508551,"4",0.197,52.5465,"yes",0,2,74,6,0
43321,0,0.0357836625021213,"4",0.227,105.7905,"yes",0,2,69,7,0
43343,0,0.035783663010225,"4",0.205,0.1404,"yes",0,1,45,5,0
43345,0,0.0357836596795954,"4",0.229,32.4828,"yes",0,1,47,5,0
43363,0,0.358339977748667,"4",0.196,57.9294,"no",0,2,201,8,0
43411,5.43623211826e-09,0.0357836621180055,"4",0.235,75.4605,"yes",0,1,21,1,0
43441,2.189291106146e-08,0.0357836630014381,"4",0.267,45.0828,"yes",0,1,61,4,0
43445,8.39547083645e-09,0.0357836568707092,"4",0.284,86.3064,"yes",0,1,391,16,0
43452,1.56247600486e-08,0.0357836579043069,"4",0.256,95.2389,"yes",0,1,44,3,0
43453,1.201711736664e-08,0.0357836627060352,"4",0.268,84.0087,"yes",0,1,12,1,0
43455,7.21878963434e-09,0.0357836615362763,"4",0.274,40.0032,"yes",0,1,12,1,0
43472,8.74716219306e-09,0.0357836828570929,"4",0.254,37.3959,"yes",0,3,95,4,0
43482,6.76943206163e-09,0.035783659200531,"4",0.252,20.7081,"yes",0,1,14,1,0
43489,6.03265874049e-09,0.0357836492731457,"4",0.245,30.8817,"yes",0,1,106,9,0
43498,0,0.0357836653961409,"4",0.247,75.1698,"yes",0,1,75,2,0
43521,4.70283517182e-09,0.358339984593594,"4",0.234,22.0887,"yes",0,3,89,6,48.649
43543,3.27136234835e-09,0.358339979658379,"4",0.235,9.3879,"yes",0,1,13,1,0
43564,7.05714174972e-09,0.0357836607130231,"4",0.24,29.6658,"yes",0,2,19,2,0
43568,0,0.0357836471110807,"4",0.238,77.13,"yes",0,2,43,3,0
43581,0,0.358339978438548,"4",0.232,200.1879,"yes",0,14,1996,94,0
43583,0,0.358339975838726,"4",0.231,16.9047,"yes",0,2,95,7,0
43584,0,0.358339886347114,"4",0.227,120.1167,"yes",0,1,14,1,0
43585,0,0.358339977751112,"4",0.231,97.8084,"yes",0,1,87,7,0
43614,3.1618686333616e-07,0.358339876709705,"4",0.227,63.9693,"yes",0,3,187,9,0
43653,4.72889107139224e-06,0.358339982248873,"4",0.221,83.3769,"yes",0,1,17,5,0
43661,2.8006047508217e-07,0.358339996505152,"4",0.22,14.5665,"no",0,1,93,3,0
43662,0,0.358339954132881,"4",0.219,282.0024,"yes",0,1,25,1,0
43665,0,0.358339974324658,"4",0.22,187.7931,"no",0,1,16,1,0
43669,0,0.358339952816911,"4",0.223,49.3569,"yes",0,1,31,1,0
43676,0,0.358339907752172,"4",0.22,114.3207,"no",0,1,37,1,0
43684,0,0.35834007095165,"4",0.222,68.5395,"no",0,7,3061,113,0
43693,0,0.358339983060597,"4",0.224,66.9825,"no",0,1,387,18,0
43699,0,0.358340004368559,"2",0.22,417.8169,"yes",0,3,159,5,0
43811,0,0.0357836622637505,"4",0.232,300.9168,"yes",0,17,1386,117,0
43812,0,0.0357836554323943,"4",0.231,13.8699,"yes",0,2,38,3,0
43814,0,0.0357837248430032,"4",0.229,9.8811,"yes",0,1,21,1,0
43818,0,0.0357836230589294,"4",0.223,16.9893,"yes",0,4,1089,76,0
43819,0,0.0357836620796982,"4",0.222,5.9823,"yes",0,1,43,2,0
43821,0,0.0357836611387092,"4",0.222,12.906,"yes",0,2,60,4,0
43824,0,0.0357836599726741,"4",0.223,44.6301,"yes",0,2,152,15,0
43827,3.01132037242e-09,0.0357836661796219,"4",0.237,13.4289,"yes",0,1,14,1,0
43842,0,0.035783656228501,"4",0.22,14.3136,"yes",0,2,94,7,0
