"cobacia","S1_ivv_nu","S2_ivv_nu","S3_ivv_classe","S4_ivv_nu","floresta","monitorado","estacoes","escolas","alunos","docentes","risco"
74428293,1.0465653010731e-07,0.242424059220583,"1",0.355,15.966,"no",0,1,200,12,0
74429241,2.1277469220017e-07,0.24242498076898,"3",0.287,5.9067,"no",0,1,8,1,0
74429242,1.7938558581475e-07,0.242426442322841,"3",0.298,14.22,"no",0,1,46,3,0
74429261,3.15626166582909e-06,0.242423773148673,"3",0.305,5.652,"no",0,2,385,17,0
74429413,1.2917827115137e-07,0.242424166976217,"1",0.303,74.0565,"no",0,1,15,2,0
74429431,1.2011906662808e-07,0.242424216042716,"1",0.317,30.7359,"no",0,5,893,80,0
74429453,5.260215798072e-08,0.242424362694677,"1",0.386,42.7122,"no",0,2,222,25,0
74429677,1.3941690284266e-07,0.242424525626537,"1",0.358,9.2484,"no",0,1,35,2,0
74429833,3.799186664377e-08,0.242424326033394,"1",0.367,13.1247,"no",0,2,431,26,0
74429837,4.401852017899e-08,0.242424390381338,"1",0.408,8.0397,"no",0,1,84,9,0
74429841,7.494194272579e-08,0.242424158581948,"1",0.409,27.1251,"no",0,1,123,12,0
74429843,2.6216972793618e-07,0.242423558172022,"1",0.409,1.3041,"no",0,3,1266,73,0
74429845,1.5696576809963e-07,0.242425102010226,"1",0.428,12.7242,"no",0,1,69,7,0
74429923,3.879644168524e-08,0.242423376291948,"1",0.363,58.2147,"no",0,2,9,3,0
74429994,1.0391216049188e-07,0.242425822335669,"1",0.424,27.3708,"no",0,1,289,19,0
74432713,4.986738772275e-08,0.242424166165157,"1",0.29,99.4536,"no",0,1,24,8,0
74496783,8.183153731306e-08,0.242424183424092,"1",0.365,49.4955,"no",0,2,379,24,0
74496791,4.8779298192468e-07,0.242424290859883,"1",0.371,6.6042,"no",0,1,157,10,0
74496821,9.5846933411304e-07,0.242424371195288,"1",0.381,4.5072,"no",0,1,35,3,0
74497821,3.490353763565e-08,0.242423354487761,"1",0.295,36.531,"no",0,4,610,40,0
74631173,0,0.243123305452671,"4",0.285,65.6442,"no",0,2,61,7,0
74631224,0,0.242425170944893,"4",0.315,30.2958,"no",0,1,41,5,0
74631321,0,0.242423706161574,"4",0.285,20.8602,"no",0,4,839,50,0
74631562,0,0.242423589786733,"4",0.312,36.8568,"no",0,1,12,1,0
74653521,0,0.242423226925746,"1",0.292,0.6534,"no",0,1,188,11,0
74685341,2.5077096321232e-07,0.24242443316728,"1",0.294,81.5922,"no",0,1,35,5,0
74693293,4.03882754409e-09,0.242424164964453,"4",0.241,26.7831,"no",0,4,1559,77,0
74699423,1.26963284408e-09,0.242423472043394,"2",0.254,57.9825,"no",0,1,25,2,0
74699442,1.00641287074e-09,0.242427008323202,"2",0.252,16.8912,"no",0,1,138,10,0
74699443,5.9409050231e-10,0.24242380885846,"2",0.252,71.4978,"no",0,2,202,19,0
74724661,4.13471056686657e-06,0.242424632995919,"4",0.248,3.4461,"no",0,1,453,29,0
74724662,3.66647101740735e-06,0.242429060632512,"5",0.251,10.5048,"no",0,1,272,16,0
74731143,0.000102851279754849,0.487619955146518,"4",0.248,18.9189,"no",0,1,10,1,0
74862948,5.62530726312e-09,0.487614088934085,"5",0.184,3.1176,"no",0,7,3062,146,0
74862992,6.91242214679e-09,0.487610089932003,"5",0.184,2.5524,"no",0,2,224,11,0
74925853,0,0.487619106328669,"4",0.243,53.406,"no",0,1,197,23,0
74926321,0,0.487618626318481,"4",0.256,8.1729,"no",0,1,121,11,0
74928255,0,0.487619075386774,"4",0.246,31.2237,"no",0,1,131,14,0
74929931,0,0.483307764725051,"5",0.235,90.3645,"no",0,1,11,1,0
74929933,0,0.481955148126277,"4",0.234,25.9812,"no",0,1,8,1,0
74933753,2.4501210533e-10,0.487567193137611,"4",0.214,69.714,"no",0,2,1153,69,0
74933923,8.6871955356e-10,0.487619459673839,"4",0.221,77.9796,"no",0,1,33,2,0
74935413,7.067140295e-10,0.487619002518107,"4",0.225,12.0537,"no",0,1,169,14,0
74938471,0,0.487619155103435,"5",0.196,13.5504,"no",0,1,139,12,0
74941111,0,0.487619057047813,"4",0.205,8.1108,"no",0,1,21,5,0
74952451,0,0.487619107728161,"4",0.194,21.0123,"no",0,1,58,7,0
74958436,0,0.487618566067549,"5",0.191,7.3305,"yes",0,1,10,1,0
74958491,0,0.487619258099667,"5",0.189,13.9527,"yes",0,1,10,1,0
74958711,0,0.487619050130168,"4",0.191,40.9194,"yes",0,1,7,1,0
74959673,0,0.487619098442072,"4",0.203,50.6223,"no",0,1,124,10,0
74964512,0,0.487618674614005,"5",0.202,19.953,"yes",0,1,40,4,0
74966133,0,0.48761903255791,"5",0.197,70.992,"yes",0,1,8,1,0
75111464,1.5262762384011e-07,0,"3",0.42,6.9714,"no",0,1,20,2,0
75111472,6.987909090274e-08,0,"4",0.431,12.1401,"no",0,1,19,2,0
75114243,1.3658500216883e-07,0,"2",0.413,1.1367,"no",0,1,27,1,0
75114253,1.261150067345e-07,0,"2",0.413,13.7583,"no",0,1,53,4,0
75114973,5.81922854452e-08,0,"3",0.41,19.5597,"no",0,2,93,9,0
75116245,2.10070950211757e-06,0,"2",0.364,2.5083,"yes",0,2,443,30,0
75116246,1.42178834732512e-06,0,"2",0.37,4.1796,"yes",0,2,375,19,0
75116268,3.3087395548265e-07,0,"3",0.354,9.504,"no",0,1,139,6,0
75116269,3.340311706893e-07,0,"3",0.354,11.25,"no",0,1,80,12,0
75116282,4.2281039047904e-07,0,"2",0.366,2.061,"yes",0,1,122,15,0
75116289,6.9155544489817e-07,0,"2",0.368,27.9774,"yes",0,2,449,37,0
75116531,2.687461864882e-07,0,"4",0.363,9.1809,"yes",0,1,172,9,0
75116532,1.00422336488925,0,"4",0.357,0.7686,"yes",0,7,1853,111,0
75116539,7.033377225305e-07,0,"2",0.359,1.8648,"yes",0,1,51,7,0.371
75116544,6.18149907551936e-06,0,"4",0.36,21.3687,"yes",0,1,156,15,0
75116548,8.3580051591634e-07,0,"4",0.368,10.4679,"yes",0,1,171,10,0
75116549,1.0691808100178e-06,0,"2",0.374,18.279,"yes",0,1,236,19,0
75116596,4.7419135841708e-07,0,"4",0.373,3.2013,"yes",0,2,222,16,0.45
75116623,2.06148762272e-07,0,"2",0.387,7.1406,"no",0,1,305,16,0
75116921,5.053777367397e-07,0,"2",0.378,10.5102,"yes",0,2,230,12,0
75116922,7.3863290224846e-07,0,"2",0.374,6.2847,"yes",0,1,217,17,0
75116937,3.3208167362156e-07,0,"2",0.385,4.2831,"yes",0,1,81,6,0
75116962,3.1313473237089e-07,0,"3",0.386,5.4261,"yes",0,1,87,7,0
75116996,5.1683355833546e-07,0,"2",0.42,9.3816,"yes",0,1,88,6,0
75116998,6.5830150892339e-07,0,"3",0.436,3.2994,"yes",0,1,83,8,0
75118212,2.0519810698346e-07,0,"4",0.384,1.4742,"no",0,1,101,9,0
75118962,1.96753289977907e-06,0,"2",0.381,3.9123,"yes",0,1,80,5,0
75119221,2.1878420383793e-07,0,"4",0.423,9.8055,"no",0,1,282,20,0
75119235,2.4081464582198e-07,0,"4",0.437,3.9672,"no",0,1,317,31,0
75119693,2.9916630398267e-07,0,"4",0.447,22.8375,"no",0,2,377,33,0
75121111,2.5747062287085e-07,0,"4",0.458,0,"no",0,3,395,42,0
75121113,5.2338022825493e-07,0,"2",0.459,0.099,"no",0,8,2373,164,0
75121114,3.7456084235166e-07,0,"4",0.459,9.5481,"no",0,6,1793,115,0
75121144,6.0379952542954e-07,0,"2",0.43,4.1526,"yes",0,1,203,17,0
75121182,5.8981041006604e-07,0,"4",0.429,5.3991,"yes",0,1,188,19,0
75121324,9.198022027746e-07,0,"2",0.417,6.9354,"yes",0,1,320,22,0
75121413,2.59779331983829e-06,0,"2",0.416,3.4137,"yes",0,1,515,31,3.457
75121443,2.61397178919697e-06,0,"4",0.413,9.3024,"yes",0,1,98,13,0
75121542,3.0748817394156e-06,0,"2",0.416,0.7893,"yes",0,5,1531,76,3.457
75121543,3.10866322260703e-06,0,"2",0.416,0.828,"yes",1,10,4509,275,3.457
75121624,1.41421105719429e-06,0,"2",0.376,2.2392,"yes",0,1,106,7,0
75121814,6.53498053340356e-06,0,"2",0.399,6.6114,"yes",0,1,229,23,0
75122119,5.7857458780288e-07,0,"2",0.368,4.6431,"yes",0,1,58,9,0
75122141,4.72260457994e-07,0,"2",0.368,4.9113,"yes",0,1,152,15,0
75122172,4.4581407601183e-07,0,"2",0.364,4.7412,"yes",0,1,177,23,0
75122343,5.6167561554135e-07,0,"2",0.36,6.795,"yes",0,1,131,10,0
75122456,4.2612607893098e-07,0,"2",0.345,1.6029,"no",0,1,154,9,0
75122465,3.6817120209706e-07,0,"2",0.337,3.7683,"no",0,1,272,16,0
75122483,3.6883711842336e-07,0,"3",0.333,5.7024,"no",0,2,1170,71,0.031
75122492,3.890979727145e-07,0,"2",0.333,3.9213,"no",0,4,1821,98,0
75122495,3.8211133082504e-07,0,"2",0.333,5.5008,"no",0,5,1317,89,0
75122545,4.3932223753254e-07,0,"3",0.339,7.2153,"no",1,1,166,10,0
75122558,4.7951908041946e-07,0,"3",0.339,3.9735,"no",0,1,213,15,0
75122563,7.250570019272e-07,0,"3",0.353,8.1477,"no",0,1,137,7,0
75122582,7.154266756705e-07,0,"3",0.353,3.4326,"no",0,1,92,5,0
75122583,7.2570129207127e-07,0,"3",0.353,8.0964,"no",0,1,141,7,0
75122585,7.7444883620867e-07,0,"3",0.353,5.517,"no",0,1,177,12,0
75122621,5.3178301170778e-07,0,"3",0.353,13.3326,"no",0,1,238,13,0
75122672,3.9626845907077e-07,0,"3",0.339,1.6533,"no",0,1,104,6,0
75122674,3.93145648004e-07,0,"3",0.333,2.4741,"no",0,1,401,19,0
75122675,3.5532106797362e-07,0,"3",0.333,5.2488,"no",0,1,98,9,0
75122676,3.6045394186311e-07,0,"3",0.333,2.9043,"no",0,1,141,11,0
75122692,3.4216136628613e-07,0,"3",0.351,2.079,"no",0,1,208,14,0
75122865,1.30919280734022e-05,0,"3",0.351,13.3164,"no",0,1,232,7,0
75122931,1.06195921486457e-06,0,"3",0.354,3.6099,"no",0,1,523,29,0
75122962,9.3556953083401e-07,0,"3",0.359,4.752,"no",0,1,315,7,0
75122966,9.9897847229971e-07,0,"3",0.364,2.6109,"no",0,1,91,5,0
75122995,1.0432850249265e-06,0,"3",0.359,1.7703,"no",0,1,406,16,0
75122999,1.00833483819401e-06,0,"3",0.359,2.0853,"no",0,1,90,3,0
75123152,7.4905570531839e-07,0,"2",0.388,3.3966,"no",0,1,161,12,0
75124542,0.000618375660982708,0,"2",0.43,0.1611,"yes",0,1,204,16,0
75124644,1.31218743234093e-06,0,"1",0.406,1.3464,"no",0,1,74,4,0
75124651,1.40211780576555e-06,0,"1",0.418,14.8689,"yes",0,1,169,13,0
75124652,1.15152805456548e-06,0,"1",0.406,1.7811,"no",0,1,19,2,0
75124691,1.17610584607234e-06,0,"1",0.406,0.4113,"no",0,1,197,12,0
75124943,9.7920326575994e-07,0,"1",0.389,4.3524,"yes",0,1,114,9,0
75124954,1.04173667818608e-06,0,"1",0.389,1.0917,"no",0,1,90,5,0
75124965,1.01056800656519e-06,0,"1",0.389,3.8187,"no",0,1,112,15,0
75124966,1.03122995053161e-06,0,"1",0.389,0.8712,"no",0,1,127,8,0
75125295,1.98103296675329e-06,0,"1",0.378,0.3843,"yes",0,1,479,27,0
75126123,1.09757686937288e-06,0,"1",0.409,3.2274,"yes",0,1,70,8,0
75126129,2.78501876050328e-06,0,"1",0.4,3.8763,"yes",0,1,93,12,0
75126191,1.70265238260177e-06,0,"1",0.398,1.7505,"yes",0,1,343,23,0
75126224,2.717989746316e-05,0,"1",0.397,3.3381,"yes",0,2,774,49,0
75126493,1.03295572608982e-06,0,"3",0.359,5.5341,"no",0,1,51,2,0
75126943,2.12568428970784e-06,0,"1",0.374,6.9948,"no",0,1,234,9,0
75127343,1.53606539975566e-06,0,"2",0.422,1.9017,"yes",1,5,1590,112,0.329
75127345,3.43647677550971e-06,0,"2",0.43,1.8468,"yes",0,2,980,62,0.086
75127641,1.07118285243917e-06,0,"1",0.408,8.6364,"yes",0,1,403,33,0
75128622,1.44011460065968e-05,0,"1",0.394,0.0369,"yes",0,1,503,33,0
75128631,7.5547010093132e-05,0,"1",0.388,4.7538,"yes",0,1,215,13,0
75129428,1.04865997229945e-06,0,"5",0.361,2.0619,"no",0,1,275,21,0
75129441,1.33155283440033e-06,0,"5",0.378,6.3855,"no",0,2,1063,53,0
75129461,1.3130888148577e-06,0,"5",0.378,0.594,"no",0,1,283,21,0
75129873,1.02360189412266e-06,0,"1",0.359,3.2679,"no",0,1,18,1,0
75129893,9.8025346450353e-07,0,"3",0.353,2.6046,"no",0,1,234,16,0
75132273,0.000105261115622265,0,"4",0.425,3.8808,"yes",1,5,1268,72,0
75132291,8.6553151005897e-07,0,"2",0.403,22.1445,"yes",0,2,68,18,0
75132295,7.6514401414307e-07,0,"4",0.39,10.7028,"yes",0,1,34,6,0
75132297,1.97610972176654e-06,0,"2",0.377,11.4831,"yes",0,8,2247,174,0
75132331,1.5869294728102e-07,0,"4",0.445,2.1186,"no",0,1,98,8,0
75132333,1.7732672393476e-07,0,"4",0.442,7.3953,"no",0,1,90,7,0
75132372,2.4874229345966e-07,0,"4",0.45,1.125,"no",0,1,65,5,0
75132385,5.2498795018916e-07,0,"4",0.434,21.9645,"yes",0,1,157,8,0
75132391,3.0532959060768e-07,0,"4",0.446,4.8735,"no",0,2,399,21,0
75132393,3.2197786141234e-07,0,"4",0.449,11.5596,"yes",0,1,166,19,0
75132415,7.48033051981455,0,"4",0.472,13.3938,"yes",0,2,260,14,0
75132479,2.04395899655003e-06,0,"2",0.466,0.2304,"yes",0,2,366,23,0
75132621,2.17971755611193e-05,0,"2",0.489,5.2938,"yes",0,3,341,35,0
75132836,1.78018064491955e-05,0,"2",0.397,4.1346,"no",0,1,20,5,0
75132913,1.12162569757961e-06,0,"2",0.428,3.375,"no",0,1,86,18,0
75132943,3.34155895405078e-06,0,"2",0.419,4.5243,"no",0,2,307,25,0
75132944,2.09820712571263e-06,0,"2",0.419,21.6603,"yes",0,6,1503,90,0
75132981,1.41406752549018e-05,0,"2",0.414,9.2808,"no",0,4,1430,101,0
75138111,1.8856434212363e-07,0,"4",0.475,5.4693,"yes",0,2,444,24,0
75138331,4.1009061246624e-05,0,"4",0.483,2.4156,"no",0,1,63,6,0
75138333,0.00125592851727624,0,"4",0.484,8.667,"yes",0,2,138,11,0
75139242,2.9398225738424e-07,0,"4",0.502,4.0311,"yes",0,1,108,11,0
75139259,1.07857516565367e-06,0,"4",0.49,16.6131,"no",0,1,85,8,0
75141129,3.601594589925e-07,0,"4",0.511,3.4614,"yes",0,2,846,38,1.352
75141154,7.0946869421833e-07,0,"4",0.498,7.9992,"no",0,1,76,10,0
75141158,2.7038843349184e-07,0,"4",0.489,6.705,"yes",0,1,133,8,0
75141185,2.5140890383437e-07,0,"2",0.459,2.493,"yes",1,3,1396,95,13.042
75141221,4.6845797642977e-07,0,"2",0.45,4.0509,"yes",0,4,652,63,2.347
75141231,3.7505133496648e-07,0,"2",0.45,4.0347,"yes",1,4,2136,110,0
75141295,4.87168073292123e-05,0,"4",0.451,3.2427,"yes",0,1,75,6,0
75141312,3.4137078051319e-07,0,"4",0.465,5.3775,"yes",0,1,214,16,0
75141313,0.990035422869449,0,"4",0.453,1.5705,"yes",0,1,187,14,0
75141314,4.2617243868952e-07,0,"4",0.453,5.2326,"yes",0,2,1090,58,0
75141323,4.031656544151e-07,0,"2",0.458,8.5473,"yes",0,1,271,16,0
75141392,6.5586907088588e-07,0,"2",0.461,2.943,"yes",0,1,239,17,0
75141399,7.9604302647096e-07,0,"1",0.453,1.2699,"no",0,1,319,15,0.024
